Barcode,No. Panggil,Tipe Koleksi,No. Inventaris,Tanggal Penerima (Bulan/Tanggal/Tahun,,,Lokasi,Tanggal Pemesanan (Bulan/Tanggal/Tahun,,,Hadiah,,Harga,,Tanggal Faktur (Bulan/Tanggal/Tahun,,,Judul
<SMKPGRI1-003b>,741.5 RIC a,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-003>,652 YET m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-003b>,652 YET m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-513>,658.076 AGU a,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-514>,658.076 AGU a,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-007>,651.3 DWI o,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-007b>,651.3 DWI o,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-008>,658.3 DWI 0,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-008b>,658.3 DWI 0,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-268>,649.1 DEN m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-146>,649.1 DEN m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-574>,657.0285 BIM m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-574b>,657.0285 BIM m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-574c>,657.0285 BIM m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-574d>,657.0285 BIM m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-375>,813 CAT m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-404>,813 WIS p,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-302>,811 REN e,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-446>,813 RAN a,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-443>,813 YOL a,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-415>,813 CLA m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-376>,813 LEV t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0000>,707 KEM s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0000b>,707 KEM s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0003>,510 BOR m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0003b>,510 BOR m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0003c>,510 BOR m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0009>,607.1 VIN d,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0009b>,607.1 VIN d,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-001>,657 DEW s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-001b>,657 DEW s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-001c>,657 DEW s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-001d>,657 DEW s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-001e>,657 DEW s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0005>,420 ELY s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0005b>,420 ELY s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-007>,410 HUS s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-007b>,410 HUS s,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-574>,657.0285 BIM m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-574b>,657.0285 BIM m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-574c>,657.0285 BIM m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-574d>,657.0285 BIM m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-574e>,657.0285 BIM m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0002>,657 DWI m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0002b>,657 DWI m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-845>,155.25 WUL m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-845b>,155.25 WUL m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-934>,155.25 WUL m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-548>,530 MEL f,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-548b>,530 MEL f,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-548c>,530 MEL f,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-548d>,530 MEL f,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-548e>,530 MEL f,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0004>,607.1 RIC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
